D:\Downloads\IMG\center_2020_03_07_21_50_04_248.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_04_248.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_04_248.jpg, 0, 0, 0, 4.724983E-05
D:\Downloads\IMG\center_2020_03_07_21_50_04_348.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_04_348.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_04_348.jpg, 0, 0, 0, 4.749996E-05
D:\Downloads\IMG\center_2020_03_07_21_50_04_451.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_04_451.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_04_451.jpg, 0, 0, 0, 4.749827E-05
D:\Downloads\IMG\center_2020_03_07_21_50_04_552.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_04_552.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_04_552.jpg, 0, 0, 0, 4.819162E-05
D:\Downloads\IMG\center_2020_03_07_21_50_04_653.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_04_653.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_04_653.jpg, 0, 0, 0, 5.250367E-05
D:\Downloads\IMG\center_2020_03_07_21_50_04_757.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_04_757.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_04_757.jpg, 0, 0, 0, 4.715868E-05
D:\Downloads\IMG\center_2020_03_07_21_50_04_857.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_04_857.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_04_857.jpg, 0, 0, 0, 4.683992E-05
D:\Downloads\IMG\center_2020_03_07_21_50_04_959.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_04_959.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_04_959.jpg, 0, 0, 0, 4.773392E-05
D:\Downloads\IMG\center_2020_03_07_21_50_05_061.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_05_061.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_05_061.jpg, 0, 0, 0, 4.947974E-05
D:\Downloads\IMG\center_2020_03_07_21_50_05_162.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_05_162.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_05_162.jpg, 0, 0, 0, 4.79541E-05
D:\Downloads\IMG\center_2020_03_07_21_50_05_264.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_05_264.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_05_264.jpg, 0, 0.1183806, 0, 0.06329422
D:\Downloads\IMG\center_2020_03_07_21_50_05_368.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_05_368.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_05_368.jpg, 0, 0.4282113, 0, 0.3848659
D:\Downloads\IMG\center_2020_03_07_21_50_05_469.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_05_469.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_05_469.jpg, 0, 0.7237069, 0, 1.068865
D:\Downloads\IMG\center_2020_03_07_21_50_05_572.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_05_572.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_05_572.jpg, 0, 1, 0, 2.146728
D:\Downloads\IMG\center_2020_03_07_21_50_05_675.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_05_675.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_05_675.jpg, -0.1280391, 0.7750315, 0, 3.431418
D:\Downloads\IMG\center_2020_03_07_21_50_05_778.jpg, D:\Downloads\IMG\left_2020_03_07_21_50_05_778.jpg, D:\Downloads\IMG\right_2020_03_07_21_50_05_778.jpg, -0.4378548, 0.4652158, 0, 4.09578
